,State,Gender,Specialty
10628,MI,F,Internal Medicine
10629,MI,M,Nephrology
10630,PA,M,Psychiatry
10631,WY,M,Dentist
10632,CA,M,Emergency Medicine
10633,NY,F,Physician Assistant
10634,WV,M,Dentist
10635,TX,M,Ophthalmology
10636,UT,M,Dentist
10637,KS,F,Internal Medicine
10638,FL,M,Family Practice
10639,MI,M,Dentist
10640,CA,M,Dentist
10641,FL,M,Plastic and Reconstructive Surgery
10642,WI,M,Orthopedic Surgery
10643,MO,F,Internal Medicine
10644,MS,M,Emergency Medicine
10645,CT,M,Dentist
10646,MI,M,Psychiatry
10647,NM,M,Orthopedic Surgery
10648,VA,M,Ophthalmology
10649,IA,M,Anesthesiology
10650,MI,F,Family Practice
10651,NJ,M,Hematology
10652,FL,M,Dentist
10653,MA,M,Dentist
10654,CO,M,Family Practice
10655,WI,F,Dentist
10656,MO,M,Hand Surgery
10657,WV,M,Nephrology
10658,WI,M,Allergy/Immunology
10659,WI,F,Family Practice
10660,IN,M,Dentist
10661,MD,M,Psychiatry & Neurology
10662,OK,M,Internal Medicine
10663,AL,M,Otolaryngology
10664,CA,F,Obstetrics/Gynecology
10665,OR,M,Optometry
10666,TX,M,Dermatology
10667,FL,M,Endocrinology
10668,NY,M,Family Practice
10669,IL,F,Dentist
10670,OR,F,Obstetrics/Gynecology
10671,OR,F,Family Practice
10672,OH,M,Dentist
10673,TX,M,Dentist
10674,CA,M,Dentist
10675,TN,M,Anesthesiology
10676,MI,M,Dentist
10677,MD,M,Family Practice
10678,OH,M,Emergency Medicine
10679,LA,M,Plastic and Reconstructive Surgery
10680,OR,M,Naturopath
10681,AZ,M,Podiatry
10682,CA,F,Family Practice
10683,CO,M,Hand Surgery
10684,FL,M,Physician Assistant
10685,NY,F,Pulmonary Disease
10686,NY,F,Physician Assistant
10687,IL,F,Family Practice
10688,AR,M,CRNA
10689,MA,F,Endocrinology
10690,TN,F,Nurse Practitioner
10691,FL,F,Otolaryngology
10692,AZ,M,Pulmonary Disease
10693,WA,M,Family Practice
10694,WI,F,Hematology
10695,FL,F,Family Practice
10696,TX,M,Dentist
10697,CA,M,Dentist
10698,MD,F,Nurse Practitioner
10699,AL,M,Internal Medicine
10700,NY,M,Family Practice
10701,CA,M,Ophthalmology
10702,TX,F,Family Practice
10703,NY,M,Internal Medicine
10704,AR,F,Internal Medicine
10705,TX,M,Student in an Organized Health Care Education/Training Program
10706,WA,F,Family Practice
10707,PA,M,Dentist
10708,PA,M,Dentist
10709,NJ,M,Urology
10710,RI,M,Hematology/Oncology
10711,OR,F,Student in an Organized Health Care Education/Training Program
10712,MN,F,Dentist
10713,MT,F,Nurse Practitioner
10714,OH,M,Family Practice
10715,MO,M,Dentist
10716,CA,F,Emergency Medicine
10717,MI,M,Neurology
10718,MI,M,Dentist
10719,RI,F,Infectious Disease
10720,KY,M,Obstetrics/Gynecology
10721,HI,F,Family Practice
10722,MI,M,Psychiatry
10723,WV,M,Anesthesiology
10724,FL,F,Dentist
10725,MD,M,Gastroenterology
10726,MI,F,Family Practice
10727,IL,M,Cardiology
10728,DE,M,Dentist
10729,IN,M,Endocrinology
10730,PA,M,Internal Medicine
10731,OR,M,Emergency Medicine
10732,NC,F,Physician Assistant
10733,TX,M,Cardiology
10734,LA,M,Otolaryngology
10735,OH,M,Dentist
10736,NY,M,Internal Medicine
10737,CA,M,Family Practice
10738,PA,M,Internal Medicine
10739,IL,F,Student in an Organized Health Care Education/Training Program
10740,NM,F,Family Practice
10741,FL,M,Colorectal Surgery (formerly proctology)
10742,PA,M,Family Practice
10743,NY,F,Nurse Practitioner
10744,NY,M,Pulmonary Disease
10745,MN,M,Internal Medicine
10746,IL,F,Nurse Practitioner
10747,GA,M,Family Practice
10748,CT,M,Obstetrics/Gynecology
10749,MI,M,Family Practice
10750,CA,M,Family Practice
10751,NC,F,Podiatry
10752,AZ,M,Urology
10753,CA,M,Allergy/Immunology
10754,NY,F,Psychiatry & Neurology
10755,MO,M,Plastic Surgery
10756,AZ,M,Dentist
10757,MI,F,Obstetrics/Gynecology
10758,SD,M,Pediatric Medicine
10759,KS,M,Urology
10760,NH,M,Cardiology
10761,PA,F,Internal Medicine
10762,CA,M,Critical Care (Intensivists)
10763,MA,M,Dentist
10764,PA,M,Podiatry
10765,NY,F,Psychiatry & Neurology
10766,NC,M,Physician Assistant
10767,IL,F,Dermatology
10768,OK,F,Psychiatry & Neurology
10769,NY,M,Internal Medicine
10770,KY,M,Family Practice
10771,DE,M,Infectious Disease
10772,IL,M,Diagnostic Radiology
10773,IL,M,Family Practice
10774,FL,M,Gastroenterology
10775,VA,F,Nurse Practitioner
10776,PA,M,Orthopedic Surgery
10777,VA,F,Nurse Practitioner
10778,NY,M,Optometry
10779,PA,M,Dentist
10780,IN,M,Cardiology
10781,FL,F,Physician Assistant
10782,NY,M,Dentist
10783,TX,M,Podiatry
10784,NC,M,Cardiology
10785,OK,M,Internal Medicine
10786,WI,M,Medical Oncology
10787,CO,M,Dentist
10788,HI,F,Pulmonary Disease
10789,CA,M,Internal Medicine
10790,MI,M,Dentist
10791,TX,F,Ophthalmology
10792,SD,M,General Surgery
10793,CA,M,Physician Assistant
10794,GA,M,Internal Medicine
10795,MN,F,Certified Clinical Nurse Specialist
10796,UT,M,Emergency Medicine
10797,LA,M,Cardiac Surgery
10798,NJ,M,Ophthalmology
10799,CA,M,Internal Medicine
10800,PA,M,Emergency Medicine
10801,CA,F,Radiation Oncology
10802,CA,F,Physician Assistant
10803,WV,F,Certified Clinical Nurse Specialist
10804,MA,F,Physical Medicine and Rehabilitation
10805,KY,F,Nurse Practitioner
10806,NY,M,Plastic and Reconstructive Surgery
10807,AZ,M,Dentist
10808,CO,M,Dentist
10809,CA,M,Family Practice
10810,TN,M,Family Practice
10811,CA,M,Family Practice
10812,OH,M,Orthopedic Surgery
10813,GA,M,Nephrology
10814,NY,F,Physician Assistant
10815,FL,M,Emergency Medicine
10816,MA,M,Orthopaedic Surgery
10817,FL,F,Internal Medicine
10818,CT,M,Otolaryngology
10819,CA,M,Dentist
10820,CA,F,Family Practice
10821,TX,M,Internal Medicine
10822,NY,M,Psychiatry
10823,LA,M,Orthopedic Surgery
10824,NY,M,Internal Medicine
10825,MN,M,Cardiology
10826,CA,M,General Practice
10827,NY,M,Urology
10828,LA,F,Obstetrics/Gynecology
10829,NY,F,Gastroenterology
10830,WA,F,Nurse Practitioner
10831,GA,M,Emergency Medicine
10832,CO,F,Nurse Practitioner
10833,ID,F,Physician Assistant
10834,CO,M,Allergy/Immunology
10835,FL,M,Pediatric Medicine
10836,FL,M,Physician Assistant
10837,MD,M,Medical Oncology
10838,MS,M,Family Practice
10839,PA,M,Physician Assistant
10840,CA,F,Neurology
10841,AZ,M,Urology
10842,SD,M,Gastroenterology
10843,CO,F,Family Practice
10844,NY,F,Nurse Practitioner
10845,TX,M,Psychiatry
10846,PA,F,Physician Assistant
10847,IL,M,Dentist
10848,PR,F,General Practice
10849,NE,M,Oral Surgery (dentists only)
10850,OH,F,Student in an Organized Health Care Education/Training Program
10851,AZ,F,Internal Medicine
10852,CA,M,Oral Surgery (dentists only)
10853,MN,F,Family Practice
10854,TX,M,Internal Medicine
10855,NE,M,Family Practice
10856,IL,M,Interventional Pain Management
10857,TX,F,Dentist
10858,AZ,M,Internal Medicine
10859,WA,F,Pharmacist
10860,OH,M,Dentist
10861,OK,F,Nurse Practitioner
10862,MN,M,Family Practice
10863,WV,M,Dentist
10864,PA,M,Cardiology
10865,OR,F,Nurse Practitioner
10866,PR,M,Student in an Organized Health Care Education/Training Program
10867,FL,M,Dentist
10868,MI,M,Dermatology
10869,CA,F,Dentist
10870,PA,M,Dentist
10871,NJ,F,Internal Medicine
10872,VA,M,Military Health Care Provider
10873,MD,M,Gastroenterology
10874,MD,F,Ophthalmology
10875,IN,M,Oral Surgery (dentists only)
10876,RI,F,Pediatric Medicine
10877,VA,F,Hematology/Oncology
10878,FL,M,Endocrinology
10879,VA,M,Dentist
10880,VT,M,General Surgery
10881,CA,M,Dentist
10882,CA,M,General Practice
10883,MD,F,Family Practice
10884,IN,M,Dentist
10885,IL,F,Family Practice
10886,KS,M,General Surgery
10887,CA,M,Ophthalmology
10888,CA,M,Gastroenterology
10889,TN,F,Family Practice
10890,WI,M,Family Practice
10891,NY,F,Nurse Practitioner
10892,TX,M,Obstetrics/Gynecology
10893,FL,M,Optometry
10894,IL,M,Obstetrics/Gynecology
10895,MI,M,Dentist
10896,AR,M,Internal Medicine
10897,NJ,M,Dentist
10898,OH,M,Student in an Organized Health Care Education/Training Program
10899,TX,M,Pulmonary Disease
10900,IL,M,Pulmonary Disease
10901,PA,F,Physician Assistant
10902,OK,M,Emergency Medicine
10903,NY,M,Family Practice
10904,OR,M,Internal Medicine
10905,MO,F,Psychiatry & Neurology
10906,WA,F,Nurse Practitioner
10907,MI,M,General Surgery
10908,OH,M,Family Practice
10909,KY,M,Radiation Oncology
10910,NC,M,Medical Oncology
10911,NC,M,Infectious Disease
10912,KY,M,General Surgery
10913,KY,M,General Surgery
10914,IL,F,Dentist
10915,ME,M,Dentist
10916,NM,M,Internal Medicine
10917,WA,M,Student in an Organized Health Care Education/Training Program
10918,WA,M,Pain Management
10919,FL,F,Nurse Practitioner
10920,NJ,F,Physician Assistant
10921,FL,F,Dentist
10922,OH,F,Internal Medicine
10923,IL,M,Internal Medicine
10924,PA,M,Internal Medicine
10925,PA,F,Internal Medicine
10926,NY,M,Otolaryngology
10927,WA,M,Nurse Practitioner
10928,IL,F,Specialist
10929,CA,F,Dentist
10930,OH,M,Pulmonary Disease
10931,WA,M,Urology
10932,VA,M,Family Practice
10933,NJ,F,Anesthesiology
10934,VA,F,Internal Medicine
10935,NJ,F,Internal Medicine
10936,FL,M,Family Practice
10937,NY,M,Dentist
10938,IL,F,Nurse Practitioner
10939,IN,F,Nurse Practitioner
10940,GA,M,Internal Medicine
10941,CA,F,Internal Medicine
10942,TN,M,Internal Medicine
10943,MD,F,Nurse Practitioner
10944,AR,M,Dentist
10945,TX,F,Dentist
10946,IL,M,Podiatry
10947,NV,M,Family Practice
10948,CA,M,Gastroenterology
10949,MD,M,Internal Medicine
10950,PA,F,Physician Assistant
10951,OR,F,Nurse Practitioner
10952,MN,M,Dentist
10953,FL,F,Family Practice
10954,PA,F,Nurse Practitioner
10955,NY,M,Gynecological/Oncology
10956,IL,M,Diagnostic Radiology
10957,MS,M,Dentist
10958,IL,F,Anesthesiology
10959,WA,M,Orthopedic Surgery
10960,FL,M,Psychiatry & Neurology
10961,NC,F,Physician Assistant
10962,IL,M,Cardiac Electrophysiology
10963,IL,F,Internal Medicine
10964,CO,F,Nurse Practitioner
10965,WV,M,Emergency Medicine
10966,MI,F,Dentist
10967,OR,F,Nurse Practitioner
10968,MD,F,Internal Medicine
10969,CA,F,Family Practice
10970,RI,M,Family Practice
10971,CA,F,Physician Assistant
10972,MD,F,Nurse Practitioner
10973,TN,M,Dentist
10974,FL,M,General Practice
10975,TX,F,General Practice
10976,OH,M,Podiatry
10977,MD,M,Osteopathic Manipulative Medicine
10978,NE,M,General Surgery
10979,PA,F,Nurse Practitioner
10980,PR,F,General Practice
10981,OH,M,Cardiology
10982,IN,M,Neurology
10983,OH,F,Nurse Practitioner
10984,WI,M,Dentist
10985,VA,F,Family Practice
10986,NY,M,Internal Medicine
10987,NV,M,Orthopedic Surgery
10988,MI,F,Nurse Practitioner
10989,MI,F,Psychiatry
10990,NJ,M,Ophthalmology
10991,FL,M,Orthopedic Surgery
10992,PA,M,Nurse Practitioner
10993,NY,M,Family Practice
10994,CA,F,Physician Assistant
10995,CA,F,Dentist
10996,CO,F,Internal Medicine
10997,PA,M,Family Practice
10998,CA,M,Dentist
10999,CA,M,Internal Medicine
11000,MA,F,Nurse Practitioner
11001,LA,F,Nurse Practitioner
11002,OH,M,Emergency Medicine
11003,MI,F,Nurse Practitioner
11004,NY,F,Physician Assistant
11005,MS,M,Dentist
11006,TX,M,Orthopedic Surgery
11007,NC,M,Dentist
11008,TN,F,Student in an Organized Health Care Education/Training Program
11009,MI,F,Family Practice
11010,FL,F,Family Practice
11011,IL,M,Neurology
11012,PA,F,Family Practice
11013,TX,F,Pediatric Medicine
11014,AL,M,Vascular Surgery
11015,OH,F,Hand Surgery
11016,PA,M,Family Practice
11017,OR,M,Dentist
11018,IN,M,General Surgery
11019,MI,F,Family Practice
11020,NC,M,Family Practice
11021,PR,M,Specialist
11022,UT,M,Physician Assistant
11023,GA,M,Dentist
11024,ME,F,Nurse Practitioner
11025,IA,M,Internal Medicine
11026,FL,F,Physician Assistant
11027,CA,M,Family Practice
11028,SC,F,Physician Assistant
11029,MN,F,Cardiology
11030,OH,M,Cardiology
11031,AL,M,Obstetrics/Gynecology
11032,CO,M,Internal Medicine
11033,MS,M,Dentist
11034,MD,M,Internal Medicine
11035,NC,F,Physician Assistant
11036,GA,M,Physical Medicine and Rehabilitation
11037,SC,F,Internal Medicine
11038,OH,M,Physician Assistant
11039,VT,M,Orthopedic Surgery
11040,NY,M,Dentist
11041,MO,M,Student in an Organized Health Care Education/Training Program
11042,DC,F,Family Practice
11043,CT,M,Emergency Medicine
11044,TX,F,Rheumatology
11045,CA,M,Internal Medicine
11046,CA,M,Internal Medicine
11047,MI,M,Dentist
11048,NC,F,Physician Assistant
11049,WV,M,Family Practice
11050,IA,M,Family Practice
11051,IL,M,Family Practice
11052,AZ,M,Emergency Medicine
11053,AZ,F,Nurse Practitioner
11054,NJ,F,Nurse Practitioner
11055,CA,F,Rheumatology
11056,MI,F,Physician Assistant
11057,MA,F,General Surgery
11058,FL,M,Cardiology
11059,WI,F,Medical Oncology
11060,NE,M,Dentist
11061,CA,M,Podiatry
11062,IN,F,Infectious Disease
11063,TN,M,Cardiology
11064,SD,M,Family Practice
11065,TX,M,Family Practice
11066,AL,M,Family Practice
11067,MI,M,Hematology/Oncology
11068,NJ,M,Emergency Medicine
11069,AL,M,Internal Medicine
11070,WI,F,Nurse Practitioner
11071,OR,F,Family Practice
11072,WA,F,Internal Medicine
11073,MA,F,Nurse Practitioner
11074,OH,F,Physician Assistant
11075,NJ,M,Internal Medicine
11076,OR,M,Podiatry
11077,FL,F,Family Practice
11078,RI,M,Internal Medicine
11079,GA,F,Internal Medicine
11080,NJ,M,Podiatry
11081,VA,M,Internal Medicine
11082,MD,M,Pulmonary Disease
11083,IL,M,Emergency Medicine
11084,NY,M,Oral Surgery (dentists only)
11085,MO,F,Nurse Practitioner
11086,NJ,M,Dentist
11087,NY,M,Internal Medicine
11088,NE,M,General Surgery
11089,PA,M,Counselor
11090,NC,M,Physician Assistant
11091,PR,M,Otolaryngology
11092,CT,F,Certified Clinical Nurse Specialist
11093,NV,M,General Surgery
11094,IL,M,Internal Medicine
11095,MD,M,Dermatology
11096,AZ,M,Internal Medicine
11097,VA,M,Physician Assistant
11098,NY,M,Internal Medicine
11099,TX,F,Hematology/Oncology
11100,CA,M,Emergency Medicine
11101,WI,F,Nurse Practitioner
11102,MD,F,Psychiatry
11103,MI,M,Family Practice
11104,NY,F,Internal Medicine
11105,MD,F,Nurse Practitioner
11106,NY,F,Obstetrics/Gynecology
11107,KY,M,Dermatology
11108,MI,M,Podiatry
11109,WV,F,Nurse Practitioner
11110,NC,M,Cardiology
11111,SC,M,Critical Care (Intensivists)
11112,FL,M,General Surgery
11113,MD,M,Nurse Practitioner
11114,TX,M,Dentist
11115,PA,M,Oral Surgery (dentists only)
11116,IL,F,Nurse Practitioner
11117,ID,F,Family Practice
11118,OR,F,Internal Medicine
11119,NC,F,Nurse Practitioner
11120,OK,M,Emergency Medicine
11121,FL,F,Obstetrics/Gynecology
11122,NY,M,Internal Medicine
11123,NY,F,Internal Medicine
11124,CA,M,Urology
11125,CA,F,Nurse Practitioner
11126,NJ,M,General Practice
11127,FL,M,Gastroenterology
11128,WI,F,Family Practice
11129,TN,F,Nurse Practitioner
11130,IL,M,Student in an Organized Health Care Education/Training Program
11131,OH,M,Family Practice
11132,CA,F,Nurse Practitioner
11133,TN,M,Dentist
11134,OK,M,Obstetrics/Gynecology
11135,KS,M,Endocrinology
11136,SC,F,Physician Assistant
11137,FL,M,General Surgery
11138,CA,M,Dentist
11139,FL,M,Ophthalmology
11140,OK,M,Colorectal Surgery (formerly proctology)
11141,NJ,F,Hematology/Oncology
11142,PA,M,Nurse Practitioner
11143,MN,M,Orthopedic Surgery
11144,IL,M,Podiatry
11145,NY,M,Student in an Organized Health Care Education/Training Program
11146,MI,M,Dentist
11147,NY,M,Dermatology
11148,NY,F,Sleep Medicine
11149,MA,F,Nurse Practitioner
11150,FL,M,Physical Medicine and Rehabilitation
11151,TN,M,Physician Assistant
11152,MA,M,Podiatry
11153,WI,F,Podiatry
11154,TX,F,Family Practice
11155,MI,M,Physical Medicine and Rehabilitation
11156,TX,F,Family Practice
11157,OR,M,Emergency Medicine
11158,PA,M,General Surgery
11159,MI,M,Orthopedic Surgery
11160,MD,M,General Acute Care Hospital
11161,RI,M,Hematology/Oncology
11162,IL,M,Internal Medicine
11163,AR,F,Obstetrics/Gynecology
11164,NC,M,Family Practice
11165,CA,F,Physician Assistant
11166,CO,F,Endocrinology
11167,NC,M,Family Practice
11168,TX,M,Interventional Pain Management
11169,TX,F,Nurse Practitioner
11170,WI,F,Psychiatry
11171,NJ,F,Family Practice
11172,NY,F,Internal Medicine
11173,MI,F,Family Practice
11174,MA,F,Optometry
11175,CA,M,Dentist
11176,IN,F,Nurse Practitioner
11177,TN,M,Internal Medicine
11178,OR,F,Obstetrics/Gynecology
11179,MA,F,Obstetrics/Gynecology
11180,AZ,M,Dentist
11181,CA,M,Family Practice
11182,GA,M,Family Practice
11183,MO,M,Otolaryngology
11184,TN,F,Nurse Practitioner
11185,VA,M,Obstetrics/Gynecology
11186,WA,M,Dentist
11187,NC,M,Dentist
11188,VA,F,Nurse Practitioner
11189,FL,F,Optometry
11190,KS,F,Nurse Practitioner
11191,KS,M,Hematology/Oncology
11192,CA,F,Orthopedic Surgery
11193,IA,M,Urology
11194,IL,F,Family Practice
11195,CA,F,Dermatology
11196,MA,F,Obstetrics/Gynecology
11197,TX,F,Internal Medicine
11198,PA,F,Family Practice
11199,CT,M,Gastroenterology
11200,DC,F,Internal Medicine
11201,VA,M,Psychiatry & Neurology
11202,TN,F,Physician Assistant
11203,MI,F,Family Practice
11204,FL,F,Neurology
11205,MA,F,Nurse Practitioner
11206,AR,F,Nurse Practitioner
11207,MI,M,Physician Assistant
11208,MN,M,Family Practice
11209,OR,M,Gastroenterology
11210,CA,M,Dentist
11211,OK,M,General Surgery
11212,AL,F,General Practice
11213,NM,F,Nurse Practitioner
11214,PA,M,Emergency Medicine
11215,FL,M,Internal Medicine
11216,AL,F,Physician Assistant
11217,IL,M,Podiatry
11218,TX,F,Neurology
11219,AZ,M,Family Practice
11220,TN,M,Dentist
11221,IL,M,Optometry
11222,CA,M,Family Practice
11223,PA,M,Hematology/Oncology
11224,TX,M,Otolaryngology
11225,OH,M,Cardiology
11226,NJ,M,Family Practice
11227,TX,M,Interventional Pain Management
11228,WA,M,Internal Medicine
11229,ME,M,Internal Medicine
11230,CT,F,Neuropsychiatry
11231,PA,M,Gastroenterology
11232,IN,M,Pulmonary Disease
11233,LA,M,Dentist
11234,CA,M,Oral Surgery (dentists only)
11235,CA,M,Family Practice
11236,WV,M,Dentist
11237,IL,F,Dermatology
11238,MD,M,Orthopedic Surgery
11239,OH,M,Cardiac Surgery
11240,NH,F,Psychiatry & Neurology
11241,IL,M,Orthopedic Surgery
11242,MN,F,Nurse Practitioner
11243,TX,F,Nurse Practitioner
11244,FL,M,Internal Medicine
11245,AR,M,Family Practice
11246,WA,F,Dentist
11247,CO,F,Student in an Organized Health Care Education/Training Program
11248,NY,F,Cardiology
11249,NJ,M,Internal Medicine
11250,FL,M,Nurse Practitioner
11251,MI,M,Physician Assistant
11252,NY,F,Allergy/Immunology
11253,CO,M,Physician Assistant
11254,NY,M,Internal Medicine
11255,CA,M,Family Practice
11256,MS,M,Orthopedic Surgery
11257,OK,M,Internal Medicine
11258,PA,M,Vascular Surgery
11259,OK,F,Physician Assistant
11260,MS,M,Dentist
11261,GA,F,Student in an Organized Health Care Education/Training Program
11262,CA,M,Internal Medicine
11263,TX,F,Nurse Practitioner
11264,MI,F,Pediatric Medicine
11265,MS,M,Psychiatry
11266,IL,M,Family Practice
11267,KY,F,Physician Assistant
11268,FL,M,Podiatry
11269,IN,M,Cardiology
11270,MI,M,Family Practice
11271,UT,M,Hematology/Oncology
11272,NY,F,Obstetrics/Gynecology
11273,NH,M,Internal Medicine
11274,TX,M,Physician Assistant
11275,MO,M,Physical Medicine and Rehabilitation
11276,MI,F,Internal Medicine
11277,AL,F,Nurse Practitioner
11278,IN,M,Orthopedic Surgery
11279,CA,M,Cardiology
11280,NC,F,Nurse Practitioner
11281,TX,M,Emergency Medicine
11282,CA,F,Physician Assistant
11283,CA,M,Emergency Medicine
11284,MA,F,Internal Medicine
11285,TN,F,Family Practice
11286,FL,M,Cardiology
11287,MS,F,Psychiatry & Neurology
11288,ND,F,Nurse Practitioner
11289,CA,F,Nurse Practitioner
11290,MA,M,Cardiology
11291,KY,M,Emergency Medicine
11292,AL,M,Family Practice
11293,NJ,M,Cardiology
11294,NJ,F,Internal Medicine
11295,MD,M,Ophthalmology
11296,AZ,M,Dentist
11297,MD,F,Physician Assistant
11298,PA,M,Dentist
11299,NY,M,Allergy/Immunology
11300,OR,M,Internal Medicine
11301,IL,M,Vascular Surgery
11302,NY,F,Nurse Practitioner
11303,NJ,M,Pulmonary Disease
11304,NJ,M,Dentist
11305,TX,M,General Surgery
11306,FL,F,Ophthalmology
11307,NC,F,Nurse Practitioner
11308,HI,M,Dentist
11309,MI,M,Physician Assistant
11310,NC,F,Optometry
11311,IL,M,Family Practice
11312,WA,M,Pain Management
11313,MA,F,Emergency Medicine
11314,FL,M,Internal Medicine
11315,DC,F,Student in an Organized Health Care Education/Training Program
11316,CA,M,Pulmonary Disease
11317,NY,M,Pulmonary Disease
11318,IA,M,Internal Medicine
11319,CA,M,Emergency Medicine
11320,KY,F,Nurse Practitioner
11321,VA,F,Student in an Organized Health Care Education/Training Program
11322,NY,M,Cardiology
11323,NE,M,Optometry
11324,NY,F,Obstetrics/Gynecology
11325,FL,M,Family Practice
11326,CA,F,Obstetrics/Gynecology
11327,NY,F,Family Practice
11328,MI,M,Physician Assistant
11329,VA,M,Orthopaedic Surgery
11330,MD,M,Student in an Organized Health Care Education/Training Program
11331,MI,F,Nurse Practitioner
11332,MO,M,Internal Medicine
11333,AL,M,Dentist
11334,AZ,M,Neurosurgery
11335,LA,F,Optometry
11336,AZ,M,Psychiatry
11337,LA,M,Student in an Organized Health Care Education/Training Program
11338,MI,M,Family Practice
11339,OR,F,Nurse Practitioner
11340,NC,F,Internal Medicine
11341,MO,F,Nurse Practitioner
11342,IN,M,Dentist
11343,MI,M,Psychiatry & Neurology
11344,OR,M,Nurse Practitioner
11345,WV,M,Neurosurgery
11346,PR,M,Internal Medicine
11347,KY,M,Physician Assistant
11348,VA,M,Osteopathic Manipulative Medicine
11349,KY,M,Emergency Medicine
11350,IL,F,Nurse Practitioner
11351,CA,M,Physician Assistant
11352,MI,M,Emergency Medicine
11353,CA,M,Internal Medicine
11354,KS,M,Family Practice
11355,CA,M,Dentist
11356,CA,F,Family Practice
11357,CA,M,Dentist
11358,KS,F,Emergency Medicine
11359,MI,M,Ophthalmology
11360,CA,M,General Practice
11361,NJ,M,Dentist
11362,AK,F,Family Practice
11363,NM,M,Physician Assistant
11364,WV,F,Nurse Practitioner
11365,NJ,F,Dermatology
11366,NY,F,Physician Assistant
11367,CA,M,Orthopaedic Surgery
11368,MS,M,Neurosurgery
11369,OR,M,Internal Medicine
11370,OK,M,Neurology
11371,MI,F,Nurse Practitioner
11372,OK,M,Dermatology
11373,OH,M,Orthopedic Surgery
11374,WA,F,Psychiatry
11375,TX,M,Psychiatry & Neurology
11376,NY,M,Emergency Medicine
11377,MD,M,Medical Oncology
11378,NC,F,Physician Assistant
11379,AR,M,Urology
11380,KY,M,Emergency Medicine
11381,AL,M,Anesthesiology
11382,FL,M,Orthopedic Surgery
11383,PR,M,General Practice
11384,KS,M,Physician Assistant
11385,OK,M,Orthopedic Surgery
11386,CA,M,Dentist
11387,WA,M,Gastroenterology
11388,PA,F,Family Practice
11389,NY,F,Oral Surgery (dentists only)
11390,CA,M,Psychiatry & Neurology
11391,VA,M,Otolaryngology
11392,MD,F,Nurse Practitioner
11393,VA,M,Internal Medicine
11394,IN,M,Nurse Practitioner
11395,NJ,F,Certified Clinical Nurse Specialist
11396,CO,M,Emergency Medicine
11397,NE,M,Family Practice
11398,NM,M,Family Practice
11399,TX,F,Colorectal Surgery (formerly proctology)
11400,PA,M,Dentist
11401,GA,F,Internal Medicine
11402,WI,M,Dentist
11403,ND,M,Internal Medicine
11404,OH,M,Nurse Practitioner
11405,NY,M,Dentist
11406,CA,M,Internal Medicine
11407,NC,F,Nurse Practitioner
11408,OH,M,Dentist
11409,TX,M,Urology
11410,SC,M,General Surgery
11411,NV,F,Emergency Medicine
11412,NC,M,Family Practice
11413,CA,F,Dentist
11414,PA,M,Urology
11415,TX,M,Emergency Medicine
11416,MA,M,Internal Medicine
11417,MA,M,General Surgery
11418,MA,M,Internal Medicine
11419,PA,M,Podiatry
11420,PA,F,Physician Assistant
11421,TN,F,Nurse Practitioner
11422,OH,M,Emergency Medicine
11423,TX,F,Nurse Practitioner
11424,FL,M,Internal Medicine
11425,TX,M,Family Practice
11426,LA,M,Physical Medicine and Rehabilitation
11427,MI,M,Nephrology
11428,IN,M,Optometry
11429,NY,F,Gastroenterology
11430,AK,F,Family Practice
11431,FL,F,Physician Assistant
11432,NC,M,Gastroenterology
11433,WA,F,Rheumatology
11434,GA,M,General Surgery
11435,MD,M,Family Practice
11436,IN,M,Dentist
11437,CA,M,Allergy/Immunology
11438,FL,M,Physician Assistant
11439,WV,F,Family Practice
11440,CA,M,Emergency Medicine
11441,CA,M,Nephrology
11442,MA,M,Oral Surgery (dentists only)
11443,NC,M,Urology
11444,WI,M,Psychiatry
11445,MS,M,Nurse Practitioner
11446,GA,F,Nurse Practitioner
11447,WA,F,Physician Assistant
11448,IA,M,Radiation Oncology
11449,KY,M,General Surgery
11450,PA,F,Obstetrics/Gynecology
11451,MT,M,Emergency Medicine
11452,GA,M,Optometry
11453,PA,M,Optometry
11454,NY,M,Internal Medicine
11455,MI,F,Internal Medicine
11456,NY,M,General Surgery
11457,CA,M,Ophthalmology
11458,TN,M,Obstetrics/Gynecology
11459,GA,M,Physician Assistant
11460,CA,M,Internal Medicine
11461,CO,M,Dentist
11462,NY,M,Neurology
11463,WY,M,Internal Medicine
11464,IL,F,Rheumatology
11465,VA,M,Otolaryngology
11466,CA,M,Ophthalmology
11467,CA,F,Family Practice
11468,VA,F,Physician Assistant
11469,LA,F,Family Practice
11470,MI,M,Dentist
11471,CA,F,Family Practice
11472,AL,M,Internal Medicine
11473,ID,M,Cardiology
11474,MD,M,Dentist
11475,AL,M,Emergency Medicine
11476,NC,F,Neurology
11477,MI,M,Otolaryngology
11478,FL,M,Physical Medicine and Rehabilitation
11479,CA,M,Pulmonary Disease
11480,TN,M,Nephrology
11481,CO,M,Physician Assistant
11482,WV,M,General Surgery
11483,FL,M,Internal Medicine
11484,CA,M,Cardiology
11485,VA,F,Obstetrics/Gynecology
11486,AZ,M,Nurse Practitioner
11487,OH,M,Dentist
11488,UT,M,Allergy/Immunology
11489,OH,M,Orthopedic Surgery
11490,IN,M,Dentist
11491,IA,M,Family Practice
11492,FL,M,Dentist
11493,OR,M,Osteopathic Manipulative Medicine
